tempStream expectedOffset: 265974, readIncrement: 1024
tempStream expectedOffset: 266998, readIncrement: 1024
tempStream expectedOffset: 267345, readIncrement: 1024
tempStream expectedOffset: 268369, readIncrement: 1024
tempStream expectedOffset: 268716, readIncrement: 1024
tempStream expectedOffset: 269740, readIncrement: 1024
tempStream expectedOffset: 270087, readIncrement: 1024
tempStream expectedOffset: 271111, readIncrement: 1024
tempStream expectedOffset: 271458, readIncrement: 1024
tempStream expectedOffset: 272482, readIncrement: 1024
tempStream expectedOffset: 272829, readIncrement: 1024
tempStream expectedOffset: 273853, readIncrement: 1024
tempStream expectedOffset: 274200, readIncrement: 1024
tempStream expectedOffset: 275224, readIncrement: 1024
tempStream expectedOffset: 275571, readIncrement: 1024
tempStream expectedOffset: 276595, readIncrement: 1024
tempStream expectedOffset: 276942, readIncrement: 1024
tempStream expectedOffset: 277966, readIncrement: 1024
tempStream expectedOffset: 278313, readIncrement: 1024
tempStream expectedOffset: 279337, readIncrement: 1024
tempStream expectedOffset: 279684, readIncrement: 1024
tempStream expectedOffset: 280708, readIncrement: 1024
tempStream expectedOffset: 281055, readIncrement: 1024
tempStream expectedOffset: 282079, readIncrement: 1024
tempStream expectedOffset: 282426, readIncrement: 1024
tempStream expectedOffset: 283450, readIncrement: 1024
tempStream expectedOffset: 283797, readIncrement: 1024
tempStream expectedOffset: 284821, readIncrement: 1024
tempStream expectedOffset: 285168, readIncrement: 1024
tempStream expectedOffset: 286192, readIncrement: 1024
tempStream expectedOffset: 286539, readIncrement: 1024
tempStream expectedOffset: 287563, readIncrement: 1024
tempStream expectedOffset: 287910, readIncrement: 1024
tempStream expectedOffset: 288934, readIncrement: 1024
tempStream expectedOffset: 289281, readIncrement: 1024
tempStream expectedOffset: 290305, readIncrement: 1024
tempStream expectedOffset: 290652, readIncrement: 1024
tempStream expectedOffset: 291676, readIncrement: 1024
tempStream expectedOffset: 292023, readIncrement: 1024
tempStream expectedOffset: 293047, readIncrement: 1024
tempStream expectedOffset: 293394, readIncrement: 1024
tempStream expectedOffset: 294418, readIncrement: 1024
tempStream expectedOffset: 294765, readIncrement: 1024
tempStream expectedOffset: 295789, readIncrement: 1024
tempStream expectedOffset: 296136, readIncrement: 1024
tempStream expectedOffset: 297160, readIncrement: 1024
tempStream expectedOffset: 297507, readIncrement: 1024
tempStream expectedOffset: 298531, readIncrement: 1024
tempStream expectedOffset: 298878, readIncrement: 1024
tempStream expectedOffset: 299902, readIncrement: 1024
